"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","44206422","OMOP3083145","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Infectomycin] Box of 100","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206419","OMOP3083142","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxicillin Stada] Box of 5 by Stada","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206418","OMOP3083141","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Sigamopen] Box of 1 by Pfizer","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206417","OMOP3083140","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxypen] Box of 5","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206416","OMOP3083139","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxypen] Box of 50","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206415","OMOP3083138","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxypen] Box of 500","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206414","OMOP3083137","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Infectomycin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206413","OMOP3083136","80.7 ML Amoxicillin 60 MG/ML Oral Solution Box of 2","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206412","OMOP3083135","80.7 ML Amoxicillin 60 MG/ML Oral Solution Box of 100","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206411","OMOP3083134","80.7 ML Amoxicillin 50 MG/ML Oral Solution Box of 2","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206404","OMOP3083127","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxi Sanorania] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206403","OMOP3083126","80.7 ML Amoxicillin 60 MG/ML Oral Solution [CLAMOXYL]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206402","OMOP3083125","80.7 ML Amoxicillin 60 MG/ML Oral Solution [CLAMOXYL] Box of 2","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206401","OMOP3083124","80.7 ML Amoxicillin 50 MG/ML Oral Solution [CLAMOXYL]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206396","OMOP3083119","80.7 ML Amoxicillin 50 MG/ML Oral Solution","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206394","OMOP3083117","80.7 ML Amoxicillin 60 MG/ML Oral Solution [CLAMOXYL] Box of 2 by Eurim-Pharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206393","OMOP3083116","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxypen]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206392","OMOP3083115","80.7 ML Amoxicillin 60 MG/ML Oral Solution [CLAMOXYL] Box of 100","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206391","OMOP3083114","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Sigamopen]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206390","OMOP3083113","80.7 ML Amoxicillin 50 MG/ML Oral Solution [CLAMOXYL] Box of 2","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206387","OMOP3083110","80.7 ML Amoxicillin 60 MG/ML Oral Solution Box of 1","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206386","OMOP3083109","80.7 ML Amoxicillin 60 MG/ML Oral Solution Box of 10","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206385","OMOP3083108","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxicillin Stada] Box of 1 by Stada","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206384","OMOP3083107","80.7 ML Amoxicillin 60 MG/ML Oral Solution [CLAMOXYL] Box of 1 by Eurim-Pharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206383","OMOP3083106","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxicillin Stada] Box of 5","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206382","OMOP3083105","80.7 ML Amoxicillin 60 MG/ML Oral Solution [CLAMOXYL] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206381","OMOP3083104","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Sigamopen] Box of 1 by Puren","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206379","OMOP3083102","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Aloxyn]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44206378","OMOP3083101","80.7 ML Amoxicillin 60 MG/ML Oral Solution [Amoxypen] Box of 10","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
