"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","44204714","OMOP3081437","37.5 ML Azithromycin 40 MG/ML Oral Solution","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44204713","OMOP3081436","37.5 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Stada] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44204712","OMOP3081435","37.5 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Stada]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44204711","OMOP3081434","37.5 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Al]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44204710","OMOP3081433","37.5 ML Azithromycin 40 MG/ML Oral Solution Box of 1","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44204709","OMOP3081432","37.5 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Al] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44195004","OMOP3071727","30 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Stada] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44194937","OMOP3071660","30 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Al] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44194936","OMOP3071659","30 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Stada]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44194839","OMOP3071562","30 ML Azithromycin 40 MG/ML Oral Solution","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44194733","OMOP3071456","30 ML Azithromycin 40 MG/ML Oral Solution Box of 1","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44194698","OMOP3071421","30 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Al]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44193324","OMOP3070047","15 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Al]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44193323","OMOP3070046","15 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Stada] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44193298","OMOP3070021","15 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Al] Box of 1","Quant Branded Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44193269","OMOP3069992","15 ML Azithromycin 40 MG/ML Oral Solution","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44193240","OMOP3069963","15 ML Azithromycin 40 MG/ML Oral Solution Box of 1","Quant Clinical Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44193229","OMOP3069952","15 ML Azithromycin 40 MG/ML Oral Solution [Azithromycin Stada]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44189043","OMOP3065766","Azithromycin 250 MG Delayed Release Oral Tablet [Azithromycin Al] Box of 6","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44189042","OMOP3065765","Azithromycin 250 MG Delayed Release Oral Tablet [Azithromycin Almus] Box of 6","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44186655","OMOP3063378","Azithromycin 250 MG Delayed Release Oral Tablet [Azithromycin Al] Box of 6 by Aliud","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44185181","OMOP3061904","Azithromycin 40 MG/ML Oral Solution [Azithromycin Al]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
