"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","44185100","OMOP3061823","Cephalexin 1000 MG Delayed Release Oral Tablet [Cephalexin-Ratiopharm] Box of 10","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44182864","OMOP3059587","Cephalexin 1000 MG Delayed Release Oral Tablet [Cephalex] Box of 20 by AbZ-Pharma","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44182863","OMOP3059586","Cephalexin 1000 MG Delayed Release Oral Tablet [Ceporexin] Box of 12 by Mtk","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44181365","OMOP3058088","Cephalexin 500 MG Delayed Release Oral Tablet [Cephalexin-Ratiopharm] Box of 20","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44181364","OMOP3058087","Cephalexin 1000 MG Delayed Release Oral Tablet [Cephalex] Box of 20","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44175357","OMOP3052080","Cephalexin 1000 MG Delayed Release Oral Tablet [Cephalexin-Ratiopharm] Box of 10 by Ratiopharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44173885","OMOP3050608","Cephalexin 500 MG Delayed Release Oral Tablet [Cephalexin-Ratiopharm]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44164104","OMOP3040827","Cephalexin 1000 MG Delayed Release Oral Tablet [Ceporexin] Box of 24 by Kohlpharma","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44160304","OMOP3037027","Cephalexin 500 MG Delayed Release Oral Tablet [Cephalexin-Ratiopharm] Box of 20 by Ratiopharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131521","OMOP1126152","5 ML Cephalexin 50 MG/ML Oral Suspension by Stcc","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131389","OMOP1126020","5 ML Cephalexin 50 MG/ML Oral Powder","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131388","OMOP1126019","5 ML Cephalexin 50 MG/ML Oral Suspension","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131338","OMOP1125969","5 ML Cephalexin 50 MG/ML Oral Powder [Keflex] by Pendopharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131337","OMOP1125968","5 ML Cephalexin 50 MG/ML Oral Suspension [Dom-Cephalexin] by Dominion cal","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131252","OMOP1125883","5 ML Cephalexin 25 MG/ML Oral Suspension [Dom-Cephalexin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131127","OMOP1125758","5 ML Cephalexin 25 MG/ML Oral Suspension [Dom-Cephalexin] by Dominion cal","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131034","OMOP1125665","5 ML Cephalexin 50 MG/ML Oral Suspension [Pms-Cephalexin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130966","OMOP1125597","5 ML Cephalexin 25 MG/ML Oral Suspension","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130888","OMOP1125519","5 ML Cephalexin 25 MG/ML Oral Powder [Keflex] by Pendopharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130887","OMOP1125518","5 ML Cephalexin 25 MG/ML Oral Suspension [Pms-Cephalexin] by Pharmascience","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130886","OMOP1125517","5 ML Cephalexin 25 MG/ML Oral Powder [Teva-Cephalexin] by TEVA","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130789","OMOP1125420","5 ML Cephalexin 25 MG/ML Oral Powder [Teva-Cephalexin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130788","OMOP1125419","5 ML Cephalexin 50 MG/ML Oral Powder [Teva-Cephalexin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130662","OMOP1125293","5 ML Cephalexin 25 MG/ML Oral Suspension by Stcc","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130661","OMOP1125292","5 ML Cephalexin 50 MG/ML Oral Powder [Teva-Cephalexin] by TEVA","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130573","OMOP1125204","5 ML Cephalexin 25 MG/ML Oral Powder [Keflex]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130572","OMOP1125203","5 ML Cephalexin 25 MG/ML Oral Suspension [Pms-Cephalexin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130364","OMOP1124995","5 ML Cephalexin 50 MG/ML Oral Powder [Keflex]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130363","OMOP1124994","5 ML Cephalexin 50 MG/ML Oral Suspension [Dom-Cephalexin]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130233","OMOP1124864","5 ML Cephalexin 50 MG/ML Oral Suspension [Pms-Cephalexin] by Pharmascience","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130034","OMOP1124665","5 ML Cephalexin 25 MG/ML Oral Powder","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44128899","OMOP1123530","Cephalexin 500 MG Oral Tablet by Pro Doc Limitee","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44128898","OMOP1123529","Cephalexin 500 MG Oral Tablet [Teva-Cephalexin] by TEVA","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44125792","OMOP1120423","Cephalexin 500 MG Oral Tablet [Teva-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44119665","OMOP1114296","Cephalexin 50 MG/ML [Pms-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44119664","OMOP1114295","Cephalexin 250 MG [Nu-Cephalex]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44115735","OMOP1110366","Cephalexin 500 MG Oral Tablet [Nu-Cephalex] by Nu-Pharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44115734","OMOP1110365","Cephalexin 500 MG Oral Tablet [Pms-Cephalexin] by Pharmascience","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44115733","OMOP1110364","Cephalexin 500 MG Oral Tablet [Penta-Cephalexin] by Pentapharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44115732","OMOP1110363","Cephalexin 250 MG Oral Capsule [Teva-Cephalexin] by TEVA","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112617","OMOP1107248","Cephalexin 25 MG/ML Oral Suspension [Pms-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112616","OMOP1107247","Cephalexin 50 MG/ML Oral Powder [Keflex]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112615","OMOP1107246","Cephalexin 50 MG/ML Oral Suspension [Dom-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112614","OMOP1107245","Cephalexin 500 MG Oral Tablet [Pms-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112613","OMOP1107244","Cephalexin 250 MG Oral Tablet [Apo-Cephalex]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112612","OMOP1107243","Cephalexin 250 MG Oral Capsule [Teva-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44112611","OMOP1107242","Cephalexin 250 MG Oral Tablet [Teva-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44109076","OMOP1103707","Cephalexin Oral Tablet [Apo-Cephalex]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44106642","OMOP1101273","Cephalexin 500 MG [Nu-Cephalex]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44102918","OMOP1097549","Cephalexin 500 MG Oral Tablet by Stcc","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44102917","OMOP1097548","Cephalexin 250 MG Oral Tablet [Dom-Cephalexin] by Dominion cal","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44099819","OMOP1094450","Cephalexin 50 MG/ML Oral Powder [Teva-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44097635","OMOP1092266","Cephalexin 50 MG/ML Oral Powder","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44093760","OMOP1088391","Cephalexin 50 MG/ML [Dom-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44093759","OMOP1088390","Cephalexin 500 MG [Dom-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44093758","OMOP1088389","Cephalexin 500 MG [Pms-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44093757","OMOP1088388","Cephalexin 250 MG [Penta-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44089896","OMOP1084527","Cephalexin 250 MG Oral Tablet by Pro Doc Limitee","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44089895","OMOP1084526","Cephalexin 250 MG Oral Tablet [Penta-Cephalexin] by Pentapharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44089894","OMOP1084525","Cephalexin 250 MG Oral Tablet [Teva-Cephalexin] by TEVA","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44086824","OMOP1081455","Cephalexin 50 MG/ML Oral Suspension [Pms-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44083259","OMOP1077890","Cephalexin Oral Suspension [Pms-Cephalexin]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44077013","OMOP1071644","Cephalexin 250 MG Oral Tablet by Stcc","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44077012","OMOP1071643","Cephalexin 250 MG Oral Tablet [Nu-Cephalex] by Nu-Pharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44077011","OMOP1071642","Cephalexin 500 MG Oral Capsule [Teva-Cephalexin] by TEVA","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44073944","OMOP1068575","Cephalexin 250 MG Oral Tablet [Dom-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44070370","OMOP1065001","Cephalexin Oral Suspension [Dom-Cephalexin]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44070369","OMOP1065000","Cephalexin Oral Tablet [Dom-Cephalexin]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44070368","OMOP1064999","Cephalexin Oral Tablet [Penta-Cephalexin]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44068999","OMOP1063630","Cephalexin Oral Powder","Clinical Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44068082","OMOP1062713","Cephalexin 500 MG [Apo-Cephalex]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44068081","OMOP1062712","Cephalexin 250 MG [Pms-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44068080","OMOP1062711","Cephalexin 500 MG [Penta-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44064293","OMOP1058924","Cephalexin 500 MG Oral Tablet [Dom-Cephalexin] by Dominion cal","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44064292","OMOP1058923","Cephalexin 250 MG Oral Tablet [Keflex] by Pendopharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44064291","OMOP1058922","Cephalexin 250 MG Oral Tablet [Pms-Cephalexin] by Pharmascience","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44061149","OMOP1055780","Cephalexin 25 MG/ML Oral Suspension [Dom-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44061148","OMOP1055779","Cephalexin 500 MG Oral Tablet [Apo-Cephalex]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44061147","OMOP1055778","Cephalexin 500 MG Oral Tablet [Dom-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44061146","OMOP1055777","Cephalexin 250 MG Oral Tablet [Nu-Cephalex]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44057496","OMOP1052127","Cephalexin Oral Powder [Keflex]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44057495","OMOP1052126","Cephalexin Oral Tablet [Pms-Cephalexin]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44057494","OMOP1052125","Cephalexin Oral Powder [Teva-Cephalexin]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44055102","OMOP1049733","Cephalexin 25 MG/ML [Dom-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44055101","OMOP1049732","Cephalexin 500 MG [Teva-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44055100","OMOP1049731","Cephalexin 250 MG [Teva-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44055099","OMOP1049730","Cephalexin 25 MG/ML [Teva-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44055098","OMOP1049729","Cephalexin 50 MG/ML [Teva-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44051277","OMOP1045908","Cephalexin 500 MG Oral Tablet [Keflex] by Pendopharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44048169","OMOP1042800","Cephalexin 25 MG/ML Oral Powder [Keflex]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44048168","OMOP1042799","Cephalexin 500 MG Oral Capsule [Teva-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44048167","OMOP1042798","Cephalexin 500 MG Oral Tablet [Penta-Cephalexin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44042005","OMOP1036636","Cephalexin 250 MG [Apo-Cephalex]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44042004","OMOP1036635","Cephalexin 250 MG [Dom-Cephalexin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44038155","OMOP1032786","Cephalexin 500 MG Oral Tablet [Apo-Cephalex] by Apotex","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
