"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","46287570","1666545","doxycycline monohydrate 75 MG Oral Capsule [Mondoxyne]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46287569","1666544","doxycycline monohydrate 75 MG [Mondoxyne]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46287568","1666542","doxycycline monohydrate 100 MG Oral Capsule [Mondoxyne]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46287567","1666541","doxycycline monohydrate 100 MG [Mondoxyne]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46287503","1666098","doxycycline monohydrate 50 MG Oral Capsule [Mondoxyne]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46287502","1666095","doxycycline Oral Capsule [Mondoxyne]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm","1"
"","46287501","1666094","doxycycline monohydrate 50 MG [Mondoxyne]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234543","1650198","{150 (doxycycline monohydrate 100 MG Oral Tablet) / 1 (118 ML) (salicylic acid 20 MG/ML Medicated Liquid Soap) } Pack","Clinical Pack","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234540","1650009","doxycycline hyclate 100 MG [Pelodis]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234539","1650007","doxycycline hyclate 100 MG [Doxy-Caps]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234534","1650001","doxycycline hyclate 100 MG [Vibramycin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234533","1649999","doxycycline hyclate 100 MG [Morgidox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234526","1649991","doxycycline monohydrate 100 MG [Monodox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234525","1649990","doxycycline monohydrate 100 MG Oral Capsule","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234524","1649989","doxycycline monohydrate 100 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234523","1649988","doxycycline hyclate 100 MG Oral Capsule","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234522","1649987","doxycycline hyclate 100 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234423","1649430","doxycycline monohydrate 75 MG [Adoxa]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234422","1649429","doxycycline monohydrate 75 MG Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234421","1649428","doxycycline monohydrate 75 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234420","1649426","doxycycline hyclate 75 MG [Acticlate]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234419","1649425","doxycycline hyclate 75 MG Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234418","1649424","doxycycline hyclate 75 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234417","1649417","doxycycline hyclate 50 MG [Vibramycin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234416","1649406","doxycycline hyclate 50 MG [Ocudox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234415","1649405","doxycycline hyclate 50 MG Oral Capsule","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234414","1649404","doxycycline hyclate 50 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234413","1649402","doxycycline monohydrate 50 MG [Monodox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234412","1649401","doxycycline monohydrate 50 MG Oral Capsule","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234411","1649400","doxycycline monohydrate 50 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234085","1653435","doxycycline hyclate 50 MG Delayed Release Oral Tablet [Doryx]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234084","1653434","doxycycline hyclate 50 MG [Doryx]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234083","1653433","doxycycline hyclate 50 MG Delayed Release Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234082","1653355","doxycycline anhydrous 40 MG [Oracea]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46234081","1653353","doxycycline anhydrous 40 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233992","1652687","doxycycline monohydrate 75 MG [Monodox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233991","1652681","doxycycline hyclate 75 MG [Doryx]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233990","1652678","doxycycline monohydrate 50 MG [Adoxa]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233989","1652674","doxycycline hyclate 50 MG Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233988","1652673","doxycycline monohydrate 50 MG Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233987","1652671","doxycycline hyclate 200 MG [Doryx]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233986","1652669","doxycycline hyclate 200 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233985","1652666","doxycycline hyclate 20 MG [Alodox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233984","1652663","doxycycline hyclate 20 MG [Periostat]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233983","1652661","doxycycline hyclate 20 MG [Oraxyl]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233982","1652659","doxycycline hyclate 20 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233981","1652655","doxycycline Injection [Doxy]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233980","1652654","doxycycline hyclate 100 MG [Doxy]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233942","1652132","doxycycline hyclate 150 MG [Doryx]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233941","1652127","doxycycline hyclate 100 MG [Doryx]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233940","1652124","doxycycline calcium 10 MG/ML [Vibramycin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233939","1652122","doxycycline calcium 10 MG/ML","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233761","1650467","doxycycline monohydrate 150 MG [Adoxa]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233758","1650447","doxycycline hyclate 150 MG [Acticlate]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233757","1650446","doxycycline hyclate 150 MG Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233756","1650445","doxycycline hyclate 150 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233755","1650444","doxycycline monohydrate 150 MG Oral Tablet","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46233754","1650443","doxycycline monohydrate 150 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
