"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","46276368","1663728","isotretinoin 30 MG Oral Capsule [Myorisan]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46276367","1663727","isotretinoin 30 MG [Myorisan]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","46221580","1605088","isotretinoin 30 MG Oral Capsule [Zenatane]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","46221579","1605087","isotretinoin 30 MG [Zenatane]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775984","1547567","isotretinoin 35 MG Oral Capsule [Absorica]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775983","1547566","isotretinoin 35 MG [Absorica]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775982","1547565","isotretinoin 35 MG Oral Capsule","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775981","1547564","isotretinoin 35 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775980","1547563","isotretinoin 25 MG Oral Capsule [Absorica]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775979","1547562","isotretinoin 25 MG [Absorica]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775978","1547561","isotretinoin 25 MG Oral Capsule","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","45775977","1547560","isotretinoin 25 MG","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","44127897","OMOP1122528","Isotretinoin 10 MG Oral Capsule [Clarus] by Mylan","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44125097","OMOP1119728","Isotretinoin 40 MG Oral Capsule [Clarus]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44125096","OMOP1119727","Isotretinoin 40 MG Oral Capsule [Epuris]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44121668","OMOP1116299","Isotretinoin Oral Capsule [Clarus]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44119059","OMOP1113690","Isotretinoin 10 MG [Epuris]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44119058","OMOP1113689","Isotretinoin 30 MG [Epuris]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44114734","OMOP1109365","Isotretinoin 10 MG Oral Capsule [Accutane] by Roche","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44110074","OMOP1104705","Isotretinoin 0.0005 MG/ML Topical Gel","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44108580","OMOP1103211","Isotretinoin Oral Capsule [Epuris]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44106056","OMOP1100687","Isotretinoin 0.0005 MG/ML [Isotrex]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44106055","OMOP1100686","Isotretinoin 40 MG [Clarus]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44101905","OMOP1096536","Isotretinoin 40 MG Oral Capsule [Accutane] by Roche","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44101904","OMOP1096535","Isotretinoin 30 MG Oral Capsule [Epuris] by Cipher","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
