"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","44785288","1486190","minocycline 75 MG [Minocin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","44785286","1486191","minocycline 75 MG Oral Capsule [Minocin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","44188373","OMOP3065096","Minocycline 100 MG Injectable Solution [Klinomycin] Box of 1000","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44188371","OMOP3065094","Minocycline 55 MG Extended Release Oral Tablet [Klinomycin] Box of 56","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44187429","OMOP3064152","Minocycline 100 MG Extended Release Oral Capsule Box of 50","Clinical Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44187428","OMOP3064151","Minocycline 100 MG Injectable Solution Box of 100","Clinical Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44187105","OMOP3063828","Minocycline Extended Release Oral Tablet [Minocyclin Beta]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44184523","OMOP3061246","Minocycline 100 MG Extended Release Oral Capsule [Minocyclin Riemser]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44184522","OMOP3061245","Minocycline 100 MG Injectable Solution [Klinomycin] Box of 100","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44182261","OMOP3058984","Minocycline 55 MG Extended Release Oral Tablet [Minakne] Box of 50 by Riemser","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44182259","OMOP3058982","Minocycline 55 MG Extended Release Oral Tablet [Minoplus] Box of 50 by MIP","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44180811","OMOP3057534","Minocycline 100 MG Injectable Solution [Klinomycin]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44180806","OMOP3057529","Minocycline 55 MG Extended Release Oral Tablet [Lederderm] Box of 100","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44179959","OMOP3056682","Minocycline 100 MG Injectable Solution Box of 500","Clinical Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44178554","OMOP3055277","Minocycline 100 MG Extended Release Oral Capsule [Minocyclin Riemser] Box of 50 by Riemser","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44178553","OMOP3055276","Minocycline 55 MG Extended Release Oral Tablet [Skid] Box of 50 by Sanofi","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44177110","OMOP3053833","Minocycline 55 MG Extended Release Oral Tablet [Klinomycin] Box of 50","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44177107","OMOP3053830","Minocycline 55 MG Extended Release Oral Tablet [Minocyclin Beta]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44177106","OMOP3053829","Minocycline 55 MG Extended Release Oral Tablet [Skid] Box of 20","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44176205","OMOP3052928","Minocycline 100 MG Injectable Solution Box of 1000","Clinical Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44174789","OMOP3051512","Minocycline 55 MG Extended Release Oral Tablet [Minocyclin Beta] Box of 50 by Betapharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44174788","OMOP3051511","Minocycline 55 MG Extended Release Oral Tablet [Skinocyclin] Box of 50 by Intendis","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44173356","OMOP3050079","Minocycline 100 MG Extended Release Oral Capsule [Minocyclin Riemser] Box of 10","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44173355","OMOP3050078","Minocycline 100 MG Injectable Solution [Klinomycin] Box of 500","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44173353","OMOP3050076","Minocycline 55 MG Extended Release Oral Tablet [Minakne] Box of 20","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44173351","OMOP3050074","Minocycline 55 MG Extended Release Oral Tablet [Skid] Box of 50","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44173350","OMOP3050073","Minocycline 55 MG Extended Release Oral Tablet [Skinocyclin] Box of 100","Branded Drug Box","Standard","timeout","timeout","Drug","RxNorm Extension","1"
