"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","45776572","1549233","sulfamethoxazole 1.67 MG/ML / trimethoprim 0.333 MG/ML Oral Solution","Clinical Drug","Standard","timeout","timeout","Drug","RxNorm","1"
"","45776570","1549231","sulfamethoxazole 1.67 MG/ML","Clinical Drug Comp","Standard","timeout","timeout","Drug","RxNorm","1"
"","44198421","OMOP3075144","100 ML Sulfamethoxazole 80 MG/ML / Trimethoprim 16 MG/ML Oral Solution [Bactrim] Box of 1 by Ae-Media","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44198064","OMOP3074787","100 ML Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Solution [Bactrim] Box of 1 by Ae-Media","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44185574","OMOP3062297","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Bactrim] Box of 10 by Ae-Media","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44178139","OMOP3054862","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Bactrim] Box of 20 by Ae-Media","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131559","OMOP1126190","5 ML Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44131416","OMOP1126047","5 ML Sulfamethoxazole 8 MG/ML / Trimethoprim 1.6 MG/ML Oral Suspension [Sulfatrim]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130746","OMOP1125377","5 ML Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension [Bactrim]","Quant Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130486","OMOP1125117","5 ML Sulfamethoxazole 8 MG/ML / Trimethoprim 1.6 MG/ML Oral Suspension","Quant Clinical Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130385","OMOP1125016","5 ML Sulfamethoxazole 8 MG/ML / Trimethoprim 1.6 MG/ML Oral Suspension [Sulfatrim] by Apotex","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44130384","OMOP1125015","5 ML Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension [Bactrim] by Roche","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126798","OMOP1121429","Sulfamethoxazole 500 MG Oral Tablet by Pro Doc Limitee","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126797","OMOP1121428","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Trisulfa] by Jaapharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126796","OMOP1121427","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet [Nu-Cotrimox] by Nu-Pharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126795","OMOP1121426","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet [Protrin] by Pro Doc Limitee","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126794","OMOP1121425","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet [Septra] by Glaxosmithkline","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126793","OMOP1121424","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet [Trisulfa] by Jaapharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44126792","OMOP1121423","Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension [Trisulfa] by Jaapharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44124461","OMOP1119092","Sulfamethoxazole 8 MG/ML / Trimethoprim 1.6 MG/ML Oral Suspension [Sulfatrim]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44124460","OMOP1119091","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Septra DS]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44121196","OMOP1115827","Sulfamethoxazole / Trimethoprim Oral Tablet [Apo Sulfatrim Pediatric]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44121195","OMOP1115826","Sulfamethoxazole / Trimethoprim Oral Tablet [Septra DS]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44118397","OMOP1113028","Sulfamethoxazole 800 MG / Trimethoprim 160 MG [Protrin]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44118396","OMOP1113027","Sulfamethoxazole 400 MG / Trimethoprim 80 MG [Nu-Cotrimox]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44118395","OMOP1113026","Sulfamethoxazole 400 MG / Trimethoprim 80 MG [Teva-Trimel]","Branded Drug Comp","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44113644","OMOP1108275","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet by D.C.","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44113643","OMOP1108274","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Roubac] by Rougier","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44113642","OMOP1108273","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet [Sulfatrim] by Apotex","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44113641","OMOP1108272","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet [Bactrim] by Roche","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44108141","OMOP1102772","Sulfamethoxazole / Trimethoprim Oral Tablet [Riva Sep Ds]","Branded Drug Form","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44100807","OMOP1095438","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Nu-Cotrimox-Ds] by Nu-Pharm","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44100806","OMOP1095437","Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension [Septra] by Glaxosmithkline","Marketed Product","Standard","timeout","timeout","Drug","RxNorm Extension","1"
"","44098386","OMOP1093017","Sulfamethoxazole 500 MG Oral Tablet [Apo Sulfamethoxazole]","Branded Drug","Standard","timeout","timeout","Drug","RxNorm Extension","1"
